债券ID,申万一级行业,申万二级行业,债券全称,债券简称,发行主体
136521.SH,房地产,房地产开发,北京鸿坤伟业房地产开发有限公司2016年公开发行公司债券(第一期),16鸿坤01,北京鸿坤伟业房地产开发有限公司
031575015.IB,房地产,房地产开发,天津房地产集团有限公司2015年度第一期非公开定向债务融资工具,15天房PPN001,天津房地产集团有限公司
118230.SZ,休闲服务,景点,昆明旅游服务(集团)有限公司2013年中小企业私募债券(第二期),13昆旅02,昆明旅游服务(集团)有限公司
125374.SH,公用事业,电力,临汾市热力供应有限公司2014年中小企业私募债券,14临热供,临汾市热力供应有限公司
127372.SH,房地产,房地产开发,2016年大理海东开发投资有限公司公司债券,16大理债,大理海东开发投资集团有限公司
031560026.IB,化工,化学制品,唐山冀东混凝土有限公司2015年度第一期非公开定向债务融资工具,15冀东土PPN001,唐山冀东混凝土有限公司
031654024.IB,建筑装饰,基础建设,扬州市运和新城建设有限公司2016年度第一期非公开定向债务融资工具,16运和新城PPN001,扬州市运和新城建设有限公司
031660026.IB,非银金融,多元金融,青岛华通国有资本运营(集团)有限责任公司2016年度第一期非公开定向债务融资工具,16华通国资PPN001,青岛华通国有资本运营(集团)有限责任公司
041573007.IB,交通运输,航空运输,招商局集团(香港)有限公司2015年度第一期短期融资券,15港招商局CP001,招商局集团(香港)有限公司
1180069.IB,综合,综合Ⅱ,2011年中山中汇投资集团有限公司公司债券,11中汇集团债,中山中汇投资集团有限公司
1180123.IB,采掘,煤炭开采,2011年山东泰丰矿业集团有限公司公司债券,11泰矿债,山东泰丰控股集团有限公司
1180151.IB,通信,通信设备,2011年深圳市中兴新通讯设备有限公司公司债券,11中兴新债,深圳市中兴新通讯设备有限公司
118289.SZ,商业贸易,专业零售,徐州申鑫建材市场管理有限公司2014年中小企业私募债券,14申鑫债,徐州申鑫建材市场管理有限公司
118302.SZ,交通运输,高速公路,平顶山平临高速公路有限责任公司2014年中小企业私募债券,14平临债,平顶山平临高速公路有限责任公司
118392.SZ,房地产,房地产开发,十四冶建设集团有限公司2015年非公开发行公司债券(第一期),15十四01,十四冶建设集团有限公司
118409.SZ,休闲服务,景点,南京汤山温泉资源管理有限公司2015年非公开发行公司债券,15宁温泉,南京汤山温泉资源管理有限公司
118434.SZ,休闲服务,景点,水城县玉舍森林旅游开发有限公司2015年非公开发行公司债券,15玉舍债,水城县玉舍森林旅游开发有限公司
118532.SZ,非银金融,多元金融,杭州西湖投资有限公司2016年非公开发行公司债券(第一期),16西投01,杭州西湖投资有限公司
118543.SZ,房地产,房地产开发,浙江杭州青山湖科技城投资建设发展有限公司2016年非公开发行公司债券,16临开债,浙江杭州青山湖科技城投资建设发展有限公司
118630.SZ,汽车,汽车整车,华泰汽车集团有限公司2016年非公开发行公司债券(第一期),16华汽01,华泰汽车集团有限公司
118633.SZ,房地产,房地产开发,天津新金融投资有限责任公司2016年非公开发行公司债券(第一期),16津金01,天津新金融投资有限责任公司
124114.SH,建筑装饰,基础建设,2012年大丰市城建国有资产经营有限公司公司债券,PR大丰债,盐城市大丰区城建国有资产经营有限公司
124347.SH,食品饮料,食品加工,2013年石家庄市建设投资集团有限责任公司公司债券,13石建投,石家庄市建设投资集团有限责任公司
124909.SH,电气设备,0,2014年超威电源有限公司公司债券,14超威债,超威电源有限公司
125155.SH,农林牧渔,种植业,江苏容丰现代农业科技有限公司2013年中小企业私募债券(第一期),13容丰01,江苏容丰现代农业科技有限公司
125169.SH,房地产,房地产开发,淮安软件园管理发展有限公司2013年中小企业私募债券(第一期),13淮软01,淮安软件园管理发展有限公司
125180.SH,医药生物,化学制药,重庆新禹投资(集团)有限公司2013年中小企业私募债券,13渝新禹,重庆新禹投资(集团)有限公司
125214.SH,休闲服务,景点,江苏武进太湖湾旅游发展有限公司2013年中小企业私募债券(第一期),PR太湖01,江苏武进太湖湾旅游发展有限公司
125223.SH,公用事业,电力,天津帝达地热开发有限公司2014年中小企业私募债券(第一期),14帝达01,天津帝达地热开发有限公司
125242.SH,交通运输,高速公路,海城市西柳物流服务有限公司2014年中小企业私募债券,14柳物流,海城市西柳物流服务有限公司
125354.SH,建筑装饰,基础建设,宿迁市惠农农业发展股份有限公司2014年中小企业私募债券第一期,14宿农01,宿迁市惠农产业发展股份有限公司
125390.SH,休闲服务,景点,开县汉丰湖综合开发有限公司2014年中小企业私募债券(第一期),14汉丰01,开县汉丰湖综合开发有限公司
125518.SH,公用事业,环保工程及服务,安徽省路网交通建设集团有限公司2014年中小企业私募债券,14徽路网,安徽省路网交通建设集团股份有限公司
125653.SH,综合,综合Ⅱ,海航基础产业集团有限公司非公开发行2015年公司债券(第四期),15海航04,海航基础产业集团有限公司
125836.SH,公用事业,环保工程及服务,浏阳生物医药园市政园林有限公司非公开发行2015年公司债券,15浏园林,湖南汇嘉市政园林有限公司
125865.SH,非银金融,多元金融,浙江省浙商资产管理有限公司非公开发行2015年公司债券(第二期),15浙资02,浙江省浙商资产管理有限公司
125910.SH,休闲服务,景点,张家界天门旅游经济投资有限责任公司2015年非公开发行公司债券,15天门旅,张家界天门旅游经济投资有限责任公司
127039.SH,综合,综合Ⅱ,2014年西湖电子集团有限公司公司债券,14西电债,西湖电子集团有限公司
127073.SH,建筑装饰,房屋建设,2015年沈阳市铁西区国有资产经营有限公司公司债券,15铁西债,沈阳市铁西区国有资产经营有限公司
127116.SH,休闲服务,景点,2015年淳安县新安江开发总公司企业债券,15淳新开,淳安县新安江开发总公司
127117.SH,建筑装饰,基础建设,2015年湖南省娄底经济技术开发投资建设有限公司公司债券,15娄开债,湖南省娄底经济技术开发投资建设集团有限公司
127128.SH,建筑装饰,房屋建设,2015年沈阳大东国有资产经营有限公司公司债券,15沈大东,沈阳大东国有资产经营集团有限公司
127298.SH,公用事业,水务,2015年任丘市建设投资集团有限公司公司债券,15任丘债,任丘市建设投资集团有限公司
127315.SH,交通运输,航空运输,2015年海航机场集团有限公司公司债券,15机场债,海航机场集团有限公司
127360.SH,房地产,房地产开发,2015年兴义市信恒城市建设投资有限公司公司债券,15兴义债,兴义市信恒城市建设投资有限公司
135358.SH,0,0,海航集团(国际)有限公司2016年非公开发行公司债券(第一期),16国际01,海航集团(国际)有限公司
135579.SH,建筑装饰,基础建设,太仓东洋实业投资公司2016年非公开发行公司债券,16东洋01,太仓东洋实业投资公司
135609.SH,休闲服务,景点,苏州沙家浜旅游发展有限公司非公开发行2016年公司债券,16沙旅游,苏州沙家浜旅游发展有限公司
139006.SH,建筑装饰,基础建设,2016年上饶市国有资产经营有限责任公司公司债券,16上饶债,上饶市国有资产经营集团有限公司
139085.SH,交通运输,高速公路,2016年淮安红日交通投资发展总公司企业债券,16红日债,淮安红日交通投资发展总公司
1680033.IB,建筑装饰,基础建设,2016年醴陵市高新技术产业发展有限公司公司债券,16醴陵高新债,醴陵市高新技术产业发展集团有限公司
031490057.IB,商业贸易,一般零售,北京华联集团投资控股有限公司2014年度第一期非公开定向债务融资工具,14华联集PPN001,北京华联集团投资控股有限公司
101661029.IB,非银金融,多元金融,中国光大集团股份公司2016年度第一期中期票据,16光大集团MTN001,中国光大集团股份公司
1080064.IB,公用事业,电力,2010年湖北清江水电开发有限责任公司公司债券,10清江债,湖北清江水电开发有限责任公司
1180195.IB,综合,综合Ⅱ,2011年泰豪集团有限公司公司债券,11泰豪集团债,泰豪集团有限公司
118770.SZ,非银金融,多元金融,中证信用增进股份有限公司2016年非公开发行公司债券(第一期),16中证01,中证信用增进股份有限公司
124037.SH,综合,综合Ⅱ,2012年重庆市江北区国有资产经营管理有限责任公司公司债券,PR渝江北,重庆宏融资本运营管理集团有限公司
124293.SH,建筑装饰,基础建设,2013年新疆五家渠城市建设投资经营有限公司公司债券,PR农六师,新疆五家渠城市建设投资经营有限公司
124803.SH,房地产,房地产开发,2014年天津市宁河县兴宁建设投资集团有限公司公司债券,14津宁投,天津市宁河区兴宁建设投资集团有限公司
127256.SH,综合,综合Ⅱ,2015年温州市铁路与轨道交通投资集团有限公司可续期公司债券(品种一),15温铁01,温州市铁路与轨道交通投资集团有限公司
127309.SH,建筑材料,其他建材,2015年江西省陶瓷工业公司企业债券,15赣陶债,景德镇陶瓷文化旅游发展有限责任公司
127404.SH,非银金融,多元金融,2016年唐山金融控股集团有限公司公司债券,16唐金债,唐山金融控股集团股份有限公司
1280090.IB,综合,综合Ⅱ,2012年唐山市冀东物贸集团有限责任公司公司债券,12冀东物贸债,唐山市冀东物贸集团有限责任公司
1280348.IB,交通运输,0,2012年福州京福高速公路有限责任公司公司债券,12榕京福债,福州京福高速公路有限责任公司
136119.SH,交通运输,0,国创高科实业集团有限公司2015年公司债券(第一期),15国创01,国创高科实业集团有限公司
136429.SH,化工,化学制品,四川省乐山市福华通达农药科技有限公司2016年公开发行公司债券(第一期)(品种二),16福华02,四川省乐山市福华通达农药科技有限公司
031678002.IB,综合,综合Ⅱ,榆林市城市投资经营集团有限公司2016年度第一期非公开定向债务融资工具,16榆林城投PPN001,榆林市城市投资经营集团有限公司
1080072.IB,非银金融,多元金融,2010年天津市津能投资公司企业债券,10津能债,天津市津能投资公司
118255.SZ,建筑装饰,装修装饰,廉江一品木业有限公司2014年中小企业私募债券(第一期),14一品01,廉江一品木业有限公司
118310.SZ,农林牧渔,林业,汝城县水电有限责任公司2014年中小企业私募债券,14汝城债,汝城县水电有限责任公司
122650.SH,公用事业,燃气,2012年青岛泰能燃气集团有限公司公司债券,泰能暂停,青岛能源华润燃气有限公司
124189.SH,休闲服务,景点,2013年大理州旅游产业开发集团有限责任公司公司债券,13大旅游,大理州旅游产业开发集团有限责任公司
124332.SH,房地产,房地产开发,2013年湘潭振湘国有资产经营投资有限公司湘江流域重金属污染治理公司债券,PR湘振湘,湘潭振湘国有资产经营投资有限公司
124486.SH,建筑装饰,基础建设,2014年第一期锦州经济技术开发区发展(集团)公司企业债券,14锦州01,锦州经济技术开发区发展(集团)有限公司
125820.SH,建筑装饰,基础建设,湖南平江常胜建设发展有限公司2015年非公开发行公司债券,15平江债,湖南平江常胜建设发展有限公司
127162.SH,交通运输,铁路运输,2015年湖南省铁路投资集团有限公司公司债券,15湘铁投,湖南铁路建设投资有限公司
127260.SH,综合,综合Ⅱ,2015年贵州凯里经济开发区开元城市投资开发有限责任公司小微企业增信集合债券,15开小微,贵州凯里开元城市投资开发有限责任公司
1280151.IB,房地产,房地产开发,2012年上海地产(集团)有限公司公司债券,12沪地产债,上海地产(集团)有限公司
124352.SH,建筑装饰,基础建设,2013年平凉市投资发展公司企业债券,PR平凉债,平凉市城乡建设投资有限责任公司
125675.SH,非银金融,多元金融,邦信资产管理有限公司2015年非公开发行公司债券(第二期),15邦信02,邦信资产管理有限公司
127304.SH,房地产,房地产开发,2015年内蒙古金隆工业园区开发建设有限公司公司债券,15蒙金隆,内蒙古金隆工业园区开发建设有限公司
135590.SH,综合,综合Ⅱ,重庆市涪陵区盛锦资产管理有限公司2016年非公开发行公司债券,16盛锦债,重庆市涪陵区盛锦资产管理有限公司
1680080.IB,交通运输,铁路运输,2016年山东铁路建设投资有限公司公司债券,16鲁铁投债,山东铁路建设投资有限公司
127132.SH,建筑装饰,基础建设,2015年宁波梅山岛开发投资有限公司公司债券,15梅山债,宁波梅山岛开发投资有限公司
041654045.IB,建筑装饰,房屋建设,龙信建设集团有限公司2016年度第一期短期融资券,16龙信建设CP001,龙信建设集团有限公司
0980113.IB,公用事业,水务,2009年华能四川水电有限公司公司债券,09华能水电债,华能四川水电有限公司
118352.SZ,公用事业,水务,龙里县供排水总公司2015年非公开发行公司债券,15龙里债,龙里县供排水总公司
124257.SH,轻工制造,0,2013年海南金海浆纸业有限公司公司债券,13海浆纸,海南金海浆纸业有限公司
125809.SH,休闲服务,餐饮,宁波市海城投资开发有限公司非公开发行2015年公司债券,15甬海债,宁波市海城投资开发有限公司
1280313.IB,房地产,房地产开发,2012年农工商房地产(集团)股份有限公司公司债券,12农房债,农工商房地产(集团)有限公司
135591.SH,公用事业,水务,黔西南州水资源开发投资有限公司2016年非公开发行公司债券(第一期),16黔水01,黔西南州水资源开发投资有限公司
136507.SH,房地产,房地产开发,宁波奥克斯置业有限公司2016年公司债券,16奥克斯,宁波奥克斯置业有限公司
1180139.IB,机械设备,专用设备,2011年安徽军工集团控股有限公司公司债券,11安徽军工债,安徽军工集团控股有限公司
118707.SZ,建筑装饰,基础建设,南通开元建设开发有限公司2016年非公开发行公司债券(第一期),16开元01,南通开元建设开发有限公司
125690.SH,非银金融,多元金融,华融天泽投资有限公司2015年非公开发行公司债券,15天泽债,华融天泽投资有限公司
135585.SH,房地产,房地产开发,合生创展集团有限公司非公开发行2016年公司债券(第一期),16合生01,合生创展集团有限公司
136150.SH,化工,化学纤维,浙江桐昆控股集团有限公司2016年公司债券(第一期),16桐昆01,浙江桐昆控股集团有限公司
1580264.IB,交通运输,高速公路,2015年贵阳市城市轨道交通有限公司可续期公司债券,15贵阳轨道可续期债,贵阳市城市轨道交通有限公司
041654058.IB,建筑材料,玻璃制造,凯盛科技集团公司2016年度第一期短期融资券,16凯盛科技CP001,凯盛科技集团公司
1180015.IB,综合,综合Ⅱ,2011年海南省发展控股有限公司公司债券,11海控债,海南省发展控股有限公司
1180037.IB,休闲服务,景点,2011年南京钟山风景区建设发展有限公司公司债券,11南京钟山债,南京钟山风景区建设发展有限公司
118713.SZ,房地产,房地产开发,柳州市房地产开发有限责任公司2016年非公开发行公司债券(第一期),16柳房01,柳州市房地产开发有限责任公司
139153.SH,建筑装饰,基础建设,2016年眉山市东坡发展投资有限公司公司债券,16东坡债,眉山市东坡发展投资有限公司
1524005.IB,房地产,房地产开发,2015年邳州市二期棚户区改造安置房项目收益债券,15邳棚改项目NPB,邳州市润财资产管理有限公司
1080159.IB,建筑装饰,基础建设,2010年红河州开发投资有限责任公司公司债券(6年),10红河开投债01,红河州开发投资有限责任公司
124824.SH,食品饮料,食品加工,2014年江苏金桥盐化集团有限责任公司棚户区改造公司债券,14金桥棚,连云港市工业投资集团有限公司
125752.SH,公用事业,电力,顺风光电投资(中国)有限公司2015年非公开发行公司债券(第一期),15顺风01,顺风光电投资(中国)有限公司
136185.SH,非银金融,多元金融,苏州国际发展集团有限公司公开发行2016年公司债券(第一期),16国发01,苏州国际发展集团有限公司
031655008.IB,食品饮料,食品加工,江苏省盐业集团有限责任公司2016年度第一期非公开定向债务融资工具,16苏盐业PPN001,江苏省盐业集团有限责任公司
041655005.IB,综合,综合Ⅱ,中山兴中集团有限公司2016年度第一期短期融资券,16中山兴中CP001,中山兴中集团有限公司
101660051.IB,建筑装饰,基础建设,山西建筑工程(集团)总公司2016年度第一期中期票据,16山西建工MTN001,山西建筑工程(集团)总公司
118350.SZ,房地产,房地产开发,福建阳光集团有限公司2015年非公开发行公司债券(第一期),15阳集01,福建阳光集团有限公司
124160.SH,休闲服务,景点,2013年蓬莱市蓬莱阁旅游有限责任公司公司债券,PR蓬莱阁,蓬莱市蓬莱阁旅游有限责任公司
1280011.IB,建筑装饰,基础建设,2012年珠海交通集团有限公司公司债券(6年期),12珠海交通债01,珠海交通集团有限公司
135568.SH,交通运输,0,深圳深业物流集团股份有限公司非公开发行2016年公司债券(第一期),16深业01,深圳深业物流集团股份有限公司
1624013.IB,公用事业,水务,2016平江县东部供水枢纽工程建设项目项目收益债券,16平供水项目NPB,平江县供水枢纽建设开发有限公司
1680238.IB,建筑装饰,基础建设,2016年遵义市红花岗城市建设投资经营有限公司公司债券,16遵红城投债,遵义市红花岗城市建设投资经营有限公司
118435.SZ,休闲服务,景点,铜仁旅游投资有限公司2015年非公开发行公司债券(第一期),15铜仁01,铜仁旅游投资有限公司
125884.SH,农林牧渔,农业综合,都江堰市集聚农业有限公司2015年非公开发行公司债券,15都堰债,都江堰市集聚农业有限公司
135560.SH,房地产,房地产开发,北京金泰房地产开发有限责任公司2016年非公开发行公司债券(第一期),16金泰01,北京金泰房地产开发有限责任公司
112335.SZ,0,0,海航资本集团有限公司2016年面向合格投资者公开发行公司债券(第一期),16海资01,海航资本集团有限公司
1280062.IB,建筑装饰,基础建设,2012年天津市汉滨投资有限公司公司债券,12汉滨投资债,天津市汉滨投资集团有限公司
136496.SH,房地产,房地产开发,苏州工业园区华成房地产开发有限公司公开发行2016年公司债券,16苏华成,苏州工业园区华成房地产开发有限公司
101655012.IB,房地产,房地产开发,武汉地产开发投资集团有限公司2016年度第二期中期票据,16武汉地产MTN002,武汉地产开发投资集团有限公司
112378.SZ,综合,综合Ⅱ,河南盛润控股集团有限公司2016年面向合格投资者公开发行公司债券,16盛润债,河南盛润控股集团有限公司
121617001.IB,房地产,房地产开发,南京金融城建设发展股份有限公司2016年度第一期项目收益票据,16金融城建PRN001,南京金融城建设发展股份有限公司
031490295.IB,建筑装饰,基础建设,重庆建工集团股份有限公司2014年度第一期非公开定向债务融资工具,14渝建投PPN001,重庆建工集团股份有限公司
1180085.IB,轻工制造,造纸,2011年寿光晨鸣控股有限公司公司债券,11晨鸣控股债,寿光晨鸣控股有限公司
1180202.IB,综合,综合Ⅱ,2011年宁海县城市建设投资开发有限公司公司债券,11宁海城投债,宁海县城投集团有限公司
135536.SH,休闲服务,景点,重庆市四面山旅游投资有限公司2016年非公开发行公司债券,16四面债,重庆市四面山旅游投资有限公司
031490987.IB,建筑装饰,基础建设,湖南省高速公路投资集团有限公司2014年度第二期非公开定向债务融资工具,14湘高投PPN002,湖南省高速公路投资集团有限公司
112434.SZ,房地产,房地产开发,河南宏光正商置业有限公司2016年面向合格投资者公开发行公司债券(第一期),16正商03,河南宏光正商置业有限公司
124072.SH,交通运输,0,2012年曲靖市公路建设开发有限责任公司公司债券,12曲公路,曲靖市公路建设开发有限责任公司
125842.SH,非银金融,多元金融,华融融德资产管理有限公司2015年非公开发行公司债券,15华融德,华融融德资产管理有限公司
136486.SH,机械设备,金属制品,邹平长城集团有限公司2016年公司债券(第一期),16长城01,邹平长城集团有限公司
031571059.IB,商业贸易,专业零售,苏宁电器集团有限公司2015年度第一期非公开定向债务融资工具,15苏宁电器PPN001,苏宁电器集团有限公司
041664031.IB,采掘,煤炭开采,青海省能源发展(集团)有限责任公司2016年度第一期短期融资券,16青海能源CP001,青海省能源发展(集团)有限责任公司
101656017.IB,公用事业,电力,协合风电投资有限公司2016年度第一期中期票据,16协合风电MTN001,协合风电投资有限公司
112315.SZ,房地产,房地产开发,上海宝龙实业发展有限公司2016年面向合格投资者公开发行公司债券,16宝龙债,上海宝龙实业发展有限公司
118676.SZ,非银金融,多元金融,广东粤科融资租赁有限公司2016年非公开发行公司债券(第一期),16粤租01,广东粤科融资租赁有限公司
136201.SH,非银金融,多元金融,香江集团有限公司2016年公司债券(第一期),16香江01,香江集团有限公司
136392.SH,非银金融,多元金融,常德财鑫投融资担保集团有限公司公开发行2016年公司债券,16财鑫债,常德财鑫投融资担保集团有限公司
136475.SH,房地产,房地产开发,重庆华宇集团有限公司2016年公开发行公司债券(第一期),16华宇01,重庆华宇集团有限公司
1480069.IB,休闲服务,酒店,2014年海航酒店控股集团有限公司公司债券,14海航酒店债,海航酒店控股集团有限公司
0980173.IB,综合,综合Ⅱ,2009年嘉善县国有资产投资有限公司公司债券,09嘉善债,嘉善县国有资产投资有限公司
118606.SZ,房地产,房地产开发,威海蓝创建设投资有限公司2016年非公开发行公司债券(第一期),16蓝创01,威海蓝创建设投资有限公司
118615.SZ,非银金融,多元金融,中国光大实业(集团)有限责任公司2016年非公开发行公司债券,16光大债,中国光大实业(集团)有限责任公司
135528.SH,建筑装饰,基础建设,安庆化工建设投资有限公司2016年非公开发行公司债券(第一期),16安庆01,安庆化工建设投资有限公司
031490863.IB,综合,综合Ⅱ,四川省铁路集团有限责任公司2014年度第一期非公开定向债务融资工具,14川铁集PPN001,四川省铁路集团有限责任公司
136467.SH,化工,塑料,浙江大东南集团有限公司2016年公司债券(第一期),16东南01,浙江大东南集团有限公司
101554037.IB,建筑装饰,基础建设,江苏南通二建集团有限公司2015年度第一期中期票据,15南通二建MTN001,江苏南通二建集团有限公司
118460.SZ,0,0,长江租赁有限公司2015年非公开发行公司债券(第一期),15长租01,长江租赁有限公司
125611.SH,房地产,房地产开发,碧桂园控股有限公司2015年非公开发行公司债券(第一期),15碧园01,碧桂园控股有限公司
127359.SH,非银金融,多元金融,2016年广州金融控股集团有限公司城市停车场建设专项债券,16穗金控,广州金融控股集团有限公司
135529.SH,建筑装饰,基础建设,洛阳市政建设集团有限公司2016年非公开发行公司债券,16洛市政,洛阳市政建设集团有限公司
136000.SH,房地产,房地产开发,浙江省国有资本运营有限公司2015年公司债券,15浙国资,浙江省国有资本运营有限公司
031490591.IB,综合,综合Ⅱ,阳光凯迪新能源集团有限公司2014年度第一期非公开定向债务融资工具,14阳光凯迪PPN001,阳光凯迪新能源集团有限公司
041651029.IB,电子,电子制造Ⅱ,中芯国际集成电路制造有限公司2016年度第一期短期融资券,16中芯国际CP001,中芯国际集成电路制造有限公司
118703.SZ,房地产,房地产开发,厦门禹洲鸿图地产开发有限公司2016年非公开发行公司债券,16禹地产,厦门禹洲鸿图地产开发有限公司
123034.SH,医药生物,医疗服务,北京神雾环境能源科技集团股份有限公司2016年公司债券,16神雾债,北京神雾环境能源科技集团股份有限公司
124485.SH,商业贸易,0,2014年江苏省沿海开发集团有限公司公司债券,14苏沿海,江苏省沿海开发集团有限公司
125484.SH,建筑装饰,基础建设,青州市宏利水务有限公司2014年中小企业私募债券,14青水债,青州市宏利水务有限公司
125757.SH,综合,综合Ⅱ,贵州省物资集团有限责任公司2015年公司债券,15黔物债,贵州省物资集团有限责任公司
136213.SH,房地产,房地产开发,山西建设发展有限公司2016年公司债券,16晋建发,山西建设发展有限公司
1680102.IB,建筑装饰,基础建设,2016年湖北省科技投资集团有限公司公司债券,16鄂科投债,湖北省科技投资集团有限公司
031490325.IB,综合,综合Ⅱ,贵阳市工业投资(集团)有限公司2014年度第一期非公开定向债务融资工具,14筑工投PPN001,贵阳市工业投资(集团)有限公司
031660039.IB,房地产,房地产开发,贵州省公路工程集团有限公司2016年度第一期非公开定向债务融资工具,16贵州公路PPN001,贵州省公路工程集团有限公司
041657001.IB,交通运输,航空运输,西部航空有限责任公司2016年度第一期短期融资券,16西部航空CP001,西部航空有限责任公司
098056.IB,综合,综合Ⅱ,2009年潍坊市投资公司企业债券,09潍投债,潍坊市投资公司
118419.SZ,综合,综合Ⅱ,亿阳集团股份有限公司2015年非公开发行公司债券(第一期),15亿阳01,亿阳集团股份有限公司
118514.SZ,汽车,汽车整车,福建省汽车工业集团有限公司2016年非公开发行公司债券,16福汽债,福建省汽车工业集团有限公司
118623.SZ,食品饮料,食品加工,湖北省宏泰国有资本投资运营集团有限公司2016年非公开发行公司债券,16鄂宏泰,湖北省宏泰国有资本投资运营集团有限公司
118663.SZ,建筑装饰,基础建设,启东市城市建设投资开发总公司2016年非公开发行公司债券(第一期),16启东01,启东市城市建设投资开发总公司
122108.SH,公用事业,电力,新天绿色能源股份有限公司2011年公司债券(六年期),11新天01,新天绿色能源股份有限公司
124169.SH,化工,化学纤维,2013年华峰集团有限公司公司债券,13华峰债,华峰集团有限公司
125403.SH,交通运输,物流,淮安开发物流有限公司2014年中小企业私募债券,14淮物流,淮安开发物流有限公司
127033.SH,公用事业,电力,2014年即墨市城市旅游开发投资有限公司公司债券,14即旅投,即墨市城市旅游开发投资有限公司
135666.SH,房地产,房地产开发,融科智地房地产股份有限公司2016年非公开发行公司债券(第一期),16融科03,融科智地房地产股份有限公司
1380081.IB,公用事业,水务,2013年福清市国有资产营运投资有限公司公司债券,13融国投债,福清市国有资产营运投资有限公司
011698103.IB,采掘,煤炭开采,山东能源集团有限公司2016年度第四期超短期融资券,16鲁能源SCP004,山东能源集团有限公司
031274001.IB,建筑装饰,基础建设,内蒙古高等级公路建设开发有限责任公司2012年度第一期非公开定向债务融资工具,12蒙高路PPN001,内蒙古高等级公路建设开发有限责任公司
112316.SZ,交通运输,航空运输,海航航空集团有限公司2016年面向合格投资者公开发行公司债券,16航空债,海航航空集团有限公司
118764.SZ,房地产,房地产开发,深圳市龙光控股有限公司2016年非公开发行公司债券(第一期),16龙控01,深圳市龙光控股有限公司
125682.SH,0,0,浙江金汇五金产业有限公司非公开发行2015年公司债券,15浙五金,浙江金汇五金产业有限公司
135354.SH,休闲服务,景点,2016年常德市文化旅游投资开发集团有限公司非公开发行公司债券,16常文旅,常德市文化旅游投资开发集团有限公司
139132.SH,建筑装饰,基础建设,2016年青岛西海岸发展(集团)有限公司公司债券(第一期),16西发01,青岛西海岸发展(集团)有限公司
031490815.IB,食品饮料,食品加工,阳江市恒财城市投资控股有限公司2014年度第一期非公开定向债务融资工具,14恒财投资PPN001,阳江市恒财城市投资控股有限公司
031561036.IB,房地产,房地产开发,郑州地产集团有限公司2015年度第一期非公开定向债务融资工具,15郑州地产PPN001,郑州地产集团有限公司
101675004.IB,房地产,房地产开发,桂林市临桂新区城市建设投资有限公司2016年度第一期中期票据,16临桂城投MTN001,桂林新城投资开发集团有限公司
124819.SH,休闲服务,景点,2014年重庆市长寿生态旅业开发有限公司公司债券,14渝旅开,重庆市长寿生态旅业开发有限公司
125684.SH,非银金融,多元金融,湖南财信投资控股有限责任公司非公开发行2015年公司债券,15湘财信,湖南财信投资控股有限责任公司
135503.SH,非银金融,多元金融,广州金控资本管理有限公司2016年非公开发行公司债券(第一期),16广金01,广州金控资本管理有限公司
101560047.IB,医药生物,生物制品,中国牧工商(集团)总公司2015年度第一期中期票据,15牧工商MTN001,中国牧工商(集团)总公司
112310.SZ,房地产,房地产开发,广东美的置业有限公司2016年面向合格投资者公开发行公司债券,16美的债,广东美的置业有限公司
1180161.IB,农林牧渔,0,2011年宁夏农垦集团有限公司公司债券,11宁农垦债,宁夏农垦集团有限公司
135505.SH,化工,化学原料,洪业化工集团股份有限公司非公开发行2016年公司债券,16洪业01,洪业化工集团股份有限公司
136355.SH,房地产,房地产开发,大华(集团)有限公司2016年公开发行公司债券(第一期),16大华01,大华(集团)有限公司
136457.SH,房地产,房地产开发,四川新希望房地产开发有限公司公开发行2016年公司债券(第一期),16希望01,四川新希望房地产开发有限公司
011698195.IB,综合,综合Ⅱ,福建漳龙集团有限公司2016年度第五期超短期融资券,16闽漳龙SCP005,福建漳龙集团有限公司
031560039.IB,建筑装饰,基础建设,绍兴市交通投资集团有限公司2015年度第一期非公开定向债务融资工具,15绍兴交投PPN001,绍兴市交通投资集团有限公司
101459028.IB,综合,综合Ⅱ,安徽省供销商业总公司2014年度第一期中期票据,14皖供销MTN001,安徽省供销商业总公司
101465011.IB,综合,综合Ⅱ,北京市海淀区玉渊潭农工商总公司2014年度第一期中期票据,14玉渊潭MTN001,北京市海淀区玉渊潭农工商总公司
125880.SH,公用事业,水务,苏州高新区自来水有限公司2015年公司债券,15苏高水,苏州高新区自来水有限公司
135497.SH,计算机,计算机应用,南京软件谷发展有限公司2016年非公开发行公司债券(第一期),16软件01,南京软件谷发展有限公司
031563006.IB,食品饮料,食品加工,正邦集团有限公司2015年度第一期非公开定向债务融资工具,15正邦PPN001,正邦集团有限公司
122572.SH,综合,综合Ⅱ,2012年成都投资控股集团有限公司公司债券,12蓉投控,成都金融控股集团有限公司
135400.SH,非银金融,多元金融,华建国际实业(深圳)有限公司非公开发行2016年公司债券,16华建债,华建国际实业(深圳)有限公司
124858.SH,交通运输,港口,2014年大连黄海港务有限公司公司债券,14黄海港,大连黄海港务有限公司
112334.SZ,房地产,房地产开发,国购投资有限公司2016年面向合格投资者公开发行公司债券(第一期),16国购01,国购投资有限公司
127284.SH,房地产,房地产开发,2015年桐城市建设投资发展有限责任公司公司债券,15桐建债,桐城市建设投资发展有限责任公司
