债券ID,申万一级行业,申万二级行业,债券全称,债券简称,发行主体
122416.SH,房地产,房地产开发,哈尔滨好民居建设投资发展有限公司2015年公司债券,15好民居,哈尔滨好民居建设投资发展有限公司
122434.SH,房地产,房地产开发,湖北清能地产集团有限公司2015年公司债券,15清能债,湖北清能投资发展集团有限公司
122457.SH,非银金融,多元金融,新疆金融投资有限公司2015年公司债券,15新金债,新疆金融投资有限公司
122465.SH,综合,综合Ⅱ,广州越秀集团有限公司2015年公司债券(第一期)(品种一),15广越01,广州越秀集团有限公司
122485.SH,房地产,房地产开发,厦门住宅建设集团有限公司2015年公司债券,15厦住宅,厦门住宅建设集团有限公司
122596.SH,建筑装饰,基础建设,2012年上海城开(集团)有限公司公司债券,12沪城开,上海城开(集团)有限公司
123028.SH,非银金融,多元金融,宝信国际融资租赁有限公司2015年公司债券,15宝信债,宝信国际融资租赁有限公司
124144.SH,综合,综合Ⅱ,2013年成都城建投资管理集团有限责任公司公司债券,PR蓉城投,成都城建投资管理集团有限责任公司
124265.SH,建筑装饰,基础建设,2013年红河州公路开发经营有限责任公司公司债券,PR红河路,红河州公路开发经营有限责任公司
124288.SH,房地产,房地产开发,2013年武汉光谷联合集团有限公司公司债券,13光谷联,武汉光谷联合集团有限公司
124792.SH,轻工制造,造纸,2014年桓台县金海公有资产经营有限公司公司债券,14桓台债,桓台县金海公有资产经营有限公司
125427.SH,建筑材料,其他建材,佛山欧神诺陶瓷股份有限公司2014年中小企业私募债券,14欧神诺,佛山欧神诺陶瓷股份有限公司
125695.SH,综合,综合Ⅱ,贵州长顺久安产业发展有限公司2015年非公开发行公司债券,15长顺债,贵州长顺久安产业发展有限公司
127144.SH,采掘,煤炭开采,2015年陕西黄河矿业(集团)有限责任公司公司债券,15黄河债,陕西黄河矿业(集团)有限责任公司
127252.SH,交通运输,公交,2015年长沙县通途公路建设投资有限公司公司债券,15通途债,长沙县通途交通建设投资有限公司
1282099.IB,综合,综合Ⅱ,上海市信息投资股份有限公司2012年度第一期中期票据,12沪信投MTN1,上海市信息投资股份有限公司
1282112.IB,交通运输,0,深圳市盐田港集团有限公司2012年度第一期中期票据,12盐田港MTN1,深圳市盐田港集团有限公司
1282409.IB,通信,通信设备,武汉邮电科学研究院2012年度第一期中期票据,12邮科院MTN1,武汉邮电科学研究院
135646.SH,房地产,房地产开发,深圳卓越世纪城房地产开发有限公司2016年非公开发行公司债券(第一期),16卓越02,深圳卓越世纪城房地产开发有限公司
